expression,reading,meaning,tags,guid,vietnamese_definition
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3,HYeQ[!t+v+,luyện tập
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3,l>?/o{CjV<,nhiều
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$,mát mẻ
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ,thức dậy
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3,LR.A;82:W|,để hạ nhiệt
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3,Dob+O4(+<L,thức dậy
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3,d8br}6f4&T,Về
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih,món ăn
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3,n=YLy+|9V>,Hơn nữa
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3,q:@^dVE|Ux,Khởi hành
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm,con khỉ
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3,"b-,^J/-<a(",sự hỗn loạn
参加,さんか,participation,JLPT JLPT_2 JLPT_3,NJ??D?6U!^,Sự tham gia
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3,Han8<B?^r0,thẩm quyền giải quyết
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3,"emfZ/!E,?[",hiệp định
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3,geVhjMXt@#,axit
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3,DM##q[%RFu,ôxy
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3,LAOK_nHPS/,Ông
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1,thơ
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3,MYpn~@*11o,niềm hạnh phúc
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l,quần jean
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3,fS!]EX&j7m,Máy bay phản lực
四角,しかく,square,JLPT JLPT_2 JLPT_3,J[L(f7xE~B,Bốn góc
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5",trực tiếp
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#],Hơn thế nữa
四季,しき,four seasons,JLPT JLPT_2 JLPT_3,j=w0weSQi),bốn mùa
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3,wd?tx<3Bac,thẳng
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>,Giai đoạn
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3,MpCDrKuR@c,sự cung cấp
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz",cấp bách
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3,E|Rw@W(/Em,thường xuyên
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3,PD*^rLK60i,Kích thích
資源,しげん,resources,JLPT JLPT_2 JLPT_3,m(PG+T&|gr,nguồn lực
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3,MbFCnlA+g8,sự kiện
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n",thời gian
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3,y#JDw}f8E1,tự tử
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3,qUB-Jtt?i`,sự thật
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3,PrmuroD(_w,chi tiêu
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3,B&D.VmCJRe,vấn đề
詩人,しじん,poet,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr,nhà thơ
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA,bản thân tôi
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3,v(wY-5e=dv,chìm
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3,K#D]Lme)]J,thiên nhiên
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3,"udM,dvR}EZ",Nghĩ
舌,した,tongue,JLPT JLPT_2 JLPT_3,i22E-x*lSS,lưỡi
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3,m7IQESq>:Z,phụ thuộc vào
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3,jQOK[Z2G2a,theo
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3,zE+XZL-yO%,Vì vậy
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3,JLb1]#eUH.,đóng
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3,i9bGgE8&)u,chất lượng
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3,L*e(K1S8y>,nạn thất nghiệp
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3,mI:_~nX$Y!,độ ẩm
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;,cuộc thí nghiệm
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3,fGH.>rJnym,nhận thức
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3,O_Qp[P4rQP,thực thi
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,",thật sự
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3,dXLqmB^MiP,triển khai
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn,độ ẩm
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n,Đứng yên
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3,I|OQWMaQog,Thực vậy
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F,Thực ra
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3,mi8g|r~Txf,sự thất vọng
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3,F5g81kES4+,khả năng thực sự
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>,chi nhánh
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3,AKsjeKTYcK,hướng dẫn
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3,O4.zUw/o_S,tự động
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq",Những đứa trẻ
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3,bDnAvhtlH7,sản phẩm
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3,GJx2Cizi1x,Sự thống trị
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3,gtSlTkyCFW,chơi
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3,oKzAa``eqH,thường
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3,"wbx:,PABM*",bãi cỏ
支払,しはらい,payment,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`,sự chi trả
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3,"ND2,<K].}x",chi trả
死亡,しぼう,death,JLPT JLPT_2 JLPT_3,zYjIN3r3C,chết
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3,K]eJp4bmn-,thủ đô
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3,D=K+>4{9gs,chị em gái
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn,Ôi (Tôi đã làm sai rồi)
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3,I/xy:2]J/|,khoe khoang
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3,o(yU(Vt?_.,Đơn giản
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3,Jd8*LeirRj,trình diễn
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F,chiếm đóng
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3,uFiSD0nBbH,ẩm ướt
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3,"NEdu]f-jA,",Xuống
霜,しも,frost,JLPT JLPT_2 JLPT_3,r%B(k2*%-2,sương giá
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3,HTrhI~ql4k,món nợ
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF,để nói chuyện
週,しゅう,week,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t",tuần
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0",tình trạng
銃,じゅう,gun,JLPT JLPT_2 JLPT_3,g}R=q_AV`],súng
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3,k;vO#x`Yq;,môi trường xung quanh
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3,Q1;gC;3=ME,mùa gặt
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ,tôn giáo
重視,じゅうし,"importance, stress",JLPT JLPT_2 JLPT_3,p)R=DLs-/X,Hãy chú ý đến
就職,しゅうしょく,finding employment,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq,tìm việc làm
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz,nước ép
修正,しゅうせい,"amendment, correction",JLPT JLPT_2 JLPT_3,gUKGu[G9oC,Sửa lỗi
重体,じゅうたい,"seriously ill, critical state",JLPT JLPT_2 JLPT_3,"F]Ml+g6],&",Bị thương nặng
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT JLPT_2 JLPT_3,f6HLmc1`E?,tắc đường
重大,じゅうだい,"serious, important",JLPT JLPT_2 JLPT_3,bRTiuj?[St,lớn lao
住宅,じゅうたく,"resident, housing",JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8",nhà ở
集団,しゅうだん,"group, mass",JLPT JLPT_2 JLPT_3,O[N$vC_)x(,nhóm
集中,しゅうちゅう,"concentration, focusing the mind",JLPT JLPT_2 JLPT_3,z{<Xu{#h*c,tập trung
収入,しゅうにゅう,"income, revenue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v,thu nhập
住民,じゅうみん,"inhabitants, residents",JLPT JLPT_2 JLPT_3,M3~&[?-]c=,cư dân
重要,じゅうよう,"important, essential",JLPT JLPT_2 JLPT_3,d;5d4|x2m2,quan trọng
修理,しゅうり,"repairing, mending",JLPT JLPT_2 JLPT_3,i2Z^HI-&!g,Sửa chữa
主義,しゅぎ,"doctrine, cause, principle",JLPT JLPT_2 JLPT_3,mm(7ICuhH@,chủ nghĩa
宿泊,しゅくはく,lodging,JLPT JLPT_2 JLPT_3,sJf/S8qo)G,ở lại
手術,しゅじゅつ,surgical operation,JLPT JLPT_2 JLPT_3,O=U-eHfq4I,Hoạt động
首相,しゅしょう,Prime Minister,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,",thủ tướng
手段,しゅだん,"means, way, measure",JLPT JLPT_2 JLPT_3,cG]JN2+6BK,có nghĩa
主張,しゅちょう,"claim, insistence, assertion",JLPT JLPT_2 JLPT_3,PQKr-g-1[?,Khẳng định
出場,しゅつじょう,participation,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b,Sự tham gia
出身,しゅっしん,come from,JLPT JLPT_2 JLPT_3,E~$fFKz?VN,Nơi sinh
出版,しゅっぱん,publication,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ,xuất bản
首都,しゅと,capital city,JLPT JLPT_2 JLPT_3,"pV,3~,Z87[",thủ đô
主婦,しゅふ,housewife,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B,bà nội trợ
主要,しゅよう,"chief, main",JLPT JLPT_2 JLPT_3,e/wz>k>*.!,chủ yếu
需要,じゅよう,demand,JLPT JLPT_2 JLPT_3,wIb;!:/d[S,nhu cầu
種類,しゅるい,"variety, kind",JLPT JLPT_2 JLPT_3,yLzP_}wHk~,các loại
順,じゅん,"order, turn",JLPT JLPT_2 JLPT_3,j(7}!qj-R?,đặt hàng
瞬間,しゅんかん,"moment, second",JLPT JLPT_2 JLPT_3,w74BNqe`C[,chốc lát
順調,じゅんちょう,doing well,JLPT JLPT_2 JLPT_3,QTXqs`sU2C,Mọi việc diễn ra suôn sẻ
順番,じゅんばん,"turn (in line), order of things",JLPT JLPT_2 JLPT_3,"B3?=*++0m,",đặt hàng
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v",sử dụng
小,しょう,small,JLPT JLPT_2 JLPT_3,He3e1#-/kV,Bé nhỏ
章,しょう,"chapter, section; medal",JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1,chương
賞,しょう,"prize, award",JLPT JLPT_2 JLPT_3,ixda5oQQ=r,phần thưởng
上,じょう,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5,thượng đẳng
障害,しょうがい,"obstacle, impediment",JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv,trở ngại
奨学金,しょうがくきん,scholarship,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:,học bổng
乗客,じょうきゃく,passenger,JLPT JLPT_2 JLPT_3,F?2lxj<[^L,hành khách
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT JLPT_2 JLPT_3,EmcG8c7y3D,Chuyển đến Tokyo
状況,じょうきょう,"state of affairs, situation",JLPT JLPT_2 JLPT_3,eJ+`w-qU@C,tình huống
条件,じょうけん,"conditions, terms",JLPT JLPT_2 JLPT_3,PesF@2hHde,tình trạng
正午,しょうご,"noon, mid-day",JLPT JLPT_2 JLPT_3,i0$lSUJ-1J,buổi trưa
正直,しょうじき,"honesty, integrity, frankness",JLPT JLPT_2 JLPT_3,l~d^29Cn=%,Sự trung thực
常識,じょうしき,common sense,JLPT JLPT_2 JLPT_3,b?[*`UKS8R,lẽ thường
少女,しょうじょ,young girl,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x,con gái
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz,một chút
症状,しょうじょう,"symptoms, condition",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE,Triệu chứng
生じる,しょうじる,"to occur, to arise, to be generated",JLPT JLPT_2 JLPT_3,"F/qG4,c8v/",Xảy ra
状態,じょうたい,"condition, situation",JLPT JLPT_2 JLPT_3,u!E?FPG-@p,tình huống
上達,じょうたつ,"improvement, advance",JLPT JLPT_2 JLPT_3,Cc{1AI[wlm,Sự cải tiến
冗談,じょうだん,a joke,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{,câu nói đùa
上等,じょうとう,"first class, very good",JLPT JLPT_2 JLPT_3,tjn_MUpJQp,Thượng đẳng
衝突,しょうとつ,"collision, conflict",JLPT JLPT_2 JLPT_3,D@=pGn%86P,xung đột
商人,しょうにん,"trader, shopkeeper, merchant",JLPT JLPT_2 JLPT_3,MlJB*>A^h!,thương nhân
承認,しょうにん,"recognition, approval",JLPT JLPT_2 JLPT_3,"N==,~orf~[",thừa nhận
少年,しょうねん,"boys, juveniles",JLPT JLPT_2 JLPT_3,p6fQoD5WK;,thiếu niên
商売,しょうばい,"trade, business, commerce",JLPT JLPT_2 JLPT_3,"LoHl,.u1Y|",việc kinh doanh
消費,しょうひ,"consumption, expenditure",JLPT JLPT_2 JLPT_3,r7nT91%)]@,Sự tiêu thụ
商品,しょうひん,"commodity, merchandise",JLPT JLPT_2 JLPT_3,w+UOx&@[sL,hàng hóa
賞品,しょうひん,"prize, trophy",JLPT JLPT_2 JLPT_3,M}I~*8Gv<&,phần thưởng
消防,しょうぼう,"fire fighting, fire department",JLPT JLPT_2 JLPT_3,u20O%VZ|ID,phòng cháy chữa cháy
情報,じょうほう,"information, (military) intelligence",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,cpG:I1X!x-,thông tin
証明,しょうめい,"proof, verification",JLPT JLPT_2 JLPT_3,l8;-B$4N!G,Bằng chứng
省略,しょうりゃく,"omission, abbreviation, abridgment",JLPT JLPT_2 JLPT_3,jp1y&-#kyn,bỏ sót
女王,じょおう,queen,JLPT JLPT_2 JLPT_3,furG^[#|I<,Nữ hoàng
職,しょく,employment,JLPT JLPT_2 JLPT_3,"hJY}5,Qu8j",công việc
職業,しょくぎょう,"occupation, business",JLPT JLPT_2 JLPT_3,tU=ntM)WP{,Nghề nghiệp
食卓,しょくたく,dining table,JLPT JLPT_2 JLPT_3,o})uu+vtqN,bàn
食品,しょくひん,foodstuff,JLPT JLPT_2 JLPT_3,iU(>r<G;@0,đồ ăn
植物,しょくぶつ,"plant, vegetation",JLPT JLPT_2 JLPT_3,mpdopLG{vR,thực vật
食物,しょくもつ,"food, foodstuff",JLPT JLPT_2 JLPT_3,KrMVp?T5YJ,đồ ăn
食欲,しょくよく,appetite (for food),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,qt1GC>c)@^,sự thèm ăn
食料,しょくりょう,food,JLPT JLPT_2 JLPT_3,"k76m(C.Z,~",đồ ăn
食糧,しょくりょう,"provisions, rations",JLPT JLPT_2 JLPT_3,"e~`&J:],P}",Đồ ăn
書斎,しょさい,"study, den",JLPT JLPT_2 JLPT_3,z(Zi=4k7-t,Học
女子,じょし,"woman, girl",JLPT JLPT_2 JLPT_3,y}`qNApt9R,Các cô gái
助手,じょしゅ,"helper, assistant",JLPT JLPT_2 JLPT_3,F9rI>UKU}`,trợ lý
徐々に,じょじょに,"slowly, little by little",JLPT JLPT_2 JLPT_3,Ik@-$!%)*d,dần dần
