expression,reading,meaning,tags,guid,vietnamese_definition
踏む,ふむ,"to step on, to tread on",JLPT JLPT_N4,MD)?c2/f%j,Bước lên
～区,～く,"~ district, ~ ward, ~ borough",JLPT JLPT_N4,jyNlO!<_rh,~ Quận
すっと,すっと,"straight, quickly",JLPT JLPT_N4,k|7>>bJ_;p,thẳng
盗む,ぬすむ,to steal; to rob,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G,ăn cắp
大抵,たいてい,"generally, usually",Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7,thường xuyên
とうとう,とうとう,"finally, at last",JLPT JLPT_N4,b~a!BAlss],Cuối cùng
ガソリン,ガソリン,"gasoline, petrol",Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S,xăng
鳴る,なる,"to sound, to ring (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T,nhẫn
しっかり,しっかり,"firmly, steady",JLPT JLPT_N4,s1@<ogH]|l,vững chãi
生きる,いきる,to live,JLPT JLPT_N4,PsYPR<^eS},sống
苦い,にがい,bitter,JLPT JLPT_N4,s7onh_qmu>,vị đắng
沸く,わく,"to boil, to grow hot",JLPT JLPT_N4,PG:x_[8:n{,đun sôi
意見,いけん,"opinion, view, idea",JLPT JLPT_N4,rm|oi`$1Dg,Ý kiến
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT JLPT_N4,uKv@@b~bnv,Đúng như dự đoán; xét cho cùng thì...
漫画,まんが,"comic (book), cartoon",Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c,truyện tranh
ステレオ,ステレオ,stereo,JLPT JLPT_N4,j)<hxBenH^,âm thanh nổi
医学,いがく,medical science,JLPT JLPT_N4,j>$AcgpmMe,thuốc
テキスト,テキスト,text; text book,JLPT JLPT_N4,tNueVeWq/i,chữ
～月,～つき,month,JLPT JLPT_N4,fmd>SOFFek,~Tháng
折る,おる,"to snap, to break; to bend",JLPT JLPT_N4,yVVu7>5}8_,Nếp gấp
～会,～かい,~ meeting,JLPT JLPT_N4,q`5&BgJq(Y,~cuộc họp
うかがう,うかがう,to ask,JLPT JLPT_N4,i(<6VU5W9O,để ghé thăm
聞こえる,きこえる,"to be heard, to be audible",JLPT JLPT_N4,quf~I<>p>,nghe
僕,ぼく,I (used by men towards those of equal or lower status),Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[,TÔI
必ず,かならず,"surely, certainly",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^,chắc chắn
壊す,こわす,"to break, to break down",JLPT JLPT_N4,d^9}5OH`;*,phá vỡ
怒る,おこる,to get angry; to scold angrily,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f,sự tức giận
床屋,とこや,barber's (shop),Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,t^jDr`iefA,thợ cắt tóc
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),JLPT JLPT_N4,Pt[L]fX^FJ,xe máy
運動,うんどうする,exercise,JLPT JLPT_N4,#ERROR!,thể thao
止む,やむ,"to cease, to stop",JLPT JLPT_N4,i[hf?*~a)V,dừng lại
もし,もし,if,JLPT JLPT_N4,oLI2n{GVOs,nếu như
表,おもて,surface; front; outside,JLPT JLPT_N4,qP[jTS0$-o,bề mặt
大学生,だいがくせい,"college student, university student",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4,cCEA>;7p%n,sinh viên đại học
運転手,うんてんしゅ,driver (by occupation),Intermediate_Japanese_Ln.6 JLPT JLPT_N4,c=1Zd>L>/{,tài xế
予習,よしゅう,preparation of lessons (for class),Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,A$348:bL<R,sự chuẩn bị
心配,しんぱいする,"worry, concern",JLPT JLPT_N4,reB^;ntMm;,sự lo lắng
別,べつ,"distinction, different",JLPT JLPT_N4,pvVM*k}K*D,khác
非常に,ひじょうに,extremely; very,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,Ih.~ep.W8C,rất
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"G:h,g@5k[b",Ngôi nhà của bạn
柔らかい,やわらかい,"soft (in reference to texture), tender",JLPT JLPT_N4,Mb;<89jf/c,mềm mại
拾う,ひろう,"to pick up (something), to find",Genki Genki_Ln.22 JLPT JLPT_N4,A7mxJIkuGg,nhặt lên
～ございます,～ございます,"to be (polite), to exist",JLPT JLPT_N4,kMO?quX[B$,Cảm ơn bạn
気,き,"spirit, mood",JLPT JLPT_N4,N`FU2bb#2c,không khí
比べる,くらべる,to compare,JLPT JLPT_N4,OXHWkwV:?8,so sánh
ほとんど,ほとんど,"mostly, almost",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,nQ>_aG@b-U,phần lớn
つもり,つもり,"intention, plan",JLPT JLPT_N4,fOH84**JB],Chủ đích
郊外,こうがい,"suburb, outskirts",JLPT JLPT_N4,m[#TphS~Yp,vùng ngoại ô
だめ,だめ,"useless, no good, hopeless",JLPT JLPT_N4,F`}=@;2gGr,KHÔNG
売り場,うりば,place where things are sold,JLPT JLPT_N4,g8Zs2)0MYs,Khu vực bán hàng
正月,しょうがつ,"New Year, New Year's Day",JLPT JLPT_N4,z?cV&4IRT$,Năm mới
規則,きそく,"rule, regulation",JLPT JLPT_N4,"fX,<9qoCbI",luật lệ
うん,うん,"yes (informal), all right (ok)",Genki Genki_Ln.8 JLPT JLPT_N4,AU=4aGU<;g,Vâng
発音,はつおん,pronunciation,JLPT JLPT_N4,ij2OK3T1KH,cách phát âm
焼く,やく,"to bake, to grill",Genki Genki_Ln.21 JLPT JLPT_N4,ze5y7QDk;*,nướng
屋上,おくじょう,rooftop,JLPT JLPT_N4,dNyWHH2le2,sân thượng
失礼,しつれい,"discourtesy, impoliteness; Excuse me",JLPT JLPT_N4,i}rJ2aUEQY,bất lịch sự
ごみ,ごみ,"trash, garbage",Genki Genki_Ln.16 JLPT JLPT_N4,l0zGWz;u*B,rác
アフリカ,アフリカ,Africa,JLPT JLPT_N4,s(eSC66i0(,Châu phi
点,てん,"mark, score, grade; point, dot",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,xl]z9.M3ii,điểm
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,x}#WG:x<B%,cố gắng hết sức có thể
今度,こんど,"now, this time, near future, one of these days, next time",Genki Genki_Ln.9 JLPT JLPT_N4,"c3M,%sgpuH",lần sau
機会,きかい,"chance, opportunity",JLPT JLPT_N4,QN(r}6a#1P,cơ hội
建てる,たてる,to build,JLPT JLPT_N4,p>?r}3Zl{s,xây dựng
複雑,ふくざつ,"complexity, complication",JLPT JLPT_N4,CH}=lqHM1.,phức tap
彼,かれ,"he, boyfriend",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t}ZPEKulM{,Anh ta
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",Genki Genki_Ln.19 JLPT JLPT_N4,q4xt(yor`^,Bạn có ở đó không?
布団,ふとん,futon,JLPT JLPT_N4,o9cl6;pq_D,futon
大事,だいじ,"important, valuable, serious matter",JLPT JLPT_N4,K-;(kx?ed|,Quan trọng
贈り物,おくりもの,a gift; a present,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,ea]7XukKd^,quà 
泥棒,どろぼう,thief; burglar,Genki Genki_Ln.21 JLPT JLPT_N4,q/[sonb>SP,tên trộm
～製,～せい,made in ~,JLPT JLPT_N4,I|]_Gf;YLD,~
注意,ちゅうい,"caution, attention",JLPT JLPT_N4,tSqn:MggQx,Để ý
台風,たいふう,typhoon,Genki Genki_Ln.16 JLPT JLPT_N4,uFiu<};|%T,bão
日,ひ,"sun, sunshine, day",Genki Genki_Ln.16 JLPT JLPT_N4,Ap$ELNr5>B,ngày
～軒,～けん,counter for houses,JLPT JLPT_N4,"KbFf,NH{5y",~ ken
そう,そう,"really, (is that) so; yes, right",JLPT JLPT_N4,wr0#d-auwR,Đúng
通る,とおる,"to pass (by), to go through",JLPT JLPT_N4,z?tZP}u#Ea,vượt qua
過ぎる,すぎる,"to exceed, to go beyond",JLPT JLPT_N4,O_}jg<!z1-,Quá nhiều
レポート; リポート,レポート; リポート,report,JLPT JLPT_N4,xai}>:G-4a,Báo cáo; Báo cáo
葉,は,leaf,JLPT JLPT_N4,xQbxW<V1k4,lá cây
必要,ひつよう,necessary,JLPT JLPT_N4,ty_M]/QA_N,nhu cầu
課長,かちょう,section manager,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Q;5M-:Rtr;,Trưởng phòng
地震,じしん,earthquake,Genki Genki_Ln.15 JLPT JLPT_N4,DGTtnnC4Nd,động đất
すると,すると,"and, then",JLPT JLPT_N4,Fz>2(<Q3D%,Sau đó
止める,やめる,"to end, to stop",JLPT JLPT_N4,w08D;C[*x`,dừng lại
ガラス,ガラス,"glass, pane",JLPT JLPT_N4,Wl!XdU*F<,thủy tinh
～学部,～がくぶ,department of a university,JLPT JLPT_N4,qq2at6CGnZ,~Giảng viên
厳しい,きびしい,hard; rigorous; strict,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,pjG^I!L.;w,nghiêm ngặt
エスカレーター,エスカレーター,escalator,JLPT JLPT_N4,y6e9BNnN(6,thang cuốn
人口,じんこう,population,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,h:04.`><%U,dân số
月,つき,moon,Genki Genki_Ln.20 JLPT JLPT_N4,g.!8Tz-L0l,mặt trăng
絹,きぬ,silk,JLPT JLPT_N4,tNV0})jEsh,lụa
ちっとも,ちっとも,not at all (neg. verb),JLPT JLPT_N4,p(lsw|$R1V,Không có gì
深い,ふかい,"deep, profound",JLPT JLPT_N4,N%G$/Va72i,sâu
壊れる,こわれる,"to be broken, to break",JLPT JLPT_N4,PH#eB=.[|i,phá vỡ
揺れる,ゆれる,"to shake, to sway",JLPT JLPT_N4,CJT@S-rGcq,Rung lắc
落る,おちる,"to fall, to drop",JLPT JLPT_N4,QEWE{hX5.8,ngã
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT JLPT_N4,z|27hHgqS.,càng nhiều càng tốt
悲しい,かなしい,"sad, sorrowful",Genki Genki_Ln.13 JLPT JLPT_N4,P[6ROxur[z,buồn
中学校,ちゅうがっこう,junior high school pupil,JLPT JLPT_N4,o@F6a}&sDT,trường trung học cơ sở
ガス,ガス,gas,JLPT JLPT_N4,J0vS6#XFQP,khí
祈る,いのる,to pray; to wish,JLPT JLPT_N4,gOVf)x5I|I,cầu nguyện
盛ん,さかん,"prosperous, active, thriving",JLPT JLPT_N4,iN0&Vv}z1G,Phát triển mạnh
アルバイト,アルバイト,part-time job,Genki Genki_Ln.4 JLPT JLPT_N4,uhbB_H_zmK,công việc bán thời gian
起こす,おこす,to wake (someone) up,Genki Genki_Ln.16 JLPT JLPT_N4,e)?&!q93%0,thức dậy
致す,いたす,-- extra-modest expression for する --,Genki Genki_Ln.20 JLPT JLPT_N4,s{uMBFr}QR,LÀM
噛む,かむ,"to bite, to chew",JLPT JLPT_N4,E0N_YXN>-x,cắn
赤ちゃん,あかちゃん,"baby, infant",Genki Genki_Ln.21 JLPT JLPT_N4,s09]7w9[]D,Đứa bé
浅い,あさい,"shallow, superficial",JLPT JLPT_N4,Bq97rav-&k,nông
嘘,うそ,lie,JLPT JLPT_N4,dDVZZUX$0%,nói dối
小説,しょうせつ,novel,Genki Genki_Ln.20 JLPT JLPT_N4,k;Wm8^zP:1,cuốn tiểu thuyết
親,おや,a parent,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,EM~YxWr$Fw,cha mẹ
それに,それに,moreover; besides,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,q*Vh;RO@9L,Hơn nữa
西洋,せいよう,"the West, Western countries",JLPT JLPT_N4,CYHizo6/]:,Phương Tây
思う,おもう,"to think, to feel",Genki Genki_Ln.8 JLPT JLPT_N4,bu>M]5SnGX,nghĩ
パート (タイム),パート (タイム),part time (esp. female part time employees),JLPT JLPT_N4,v_m4?zP2.9,Bán thời gian)
時代,じだい,"age, period, epoch, era",JLPT JLPT_N4,L?Q&>175XG,kỷ nguyên
申し上げる,もうしあげる,"(humble)to say, to tell",JLPT JLPT_N4,GF+@f2CV$T,Tôi muốn nói
～式,～しき,~ ceremony; ~ style,JLPT JLPT_N4,"r&5Ybsff,l",~phong cách
出席,しゅっせきする,attendance,JLPT JLPT_N4,veUCYD:#[?,Tham gia
～家,～か,person who is specialized in ~,JLPT JLPT_N4,jmL@^X(3xD,~trang chủ
迎える,むかえる,to welcome; to meet; to greet,JLPT JLPT_N4,c)r?fC@d`X,để chào đón
触る,さわる,"to touch, to feel",JLPT JLPT_N4,EE}]!?vk-o,chạm
建て,～だて,"~ storied, separate housing",JLPT JLPT_N4,O;BgWj4xcP,xây dựng
社長,しゃちょう,president of a company,Genki Genki_Ln.11 JLPT JLPT_N4,esu`;_q%~},chủ tịch
動物園,どうぶつえん,zoo,JLPT JLPT_N4,LA>0An]TpD,vườn thú
捕まえる,つかまえる,"to catch, to arrest",JLPT JLPT_N4,"dxA,$K8Jjo",nắm lấy
季節,きせつ,season (in reference to weather),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,"H-HO2,.Mf&",mùa
寄る,よる,to stop by,Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,wowQrA=!@I,tiếp cận
決まる,きまる,to be set; fixed (v.i.),Intermediate_Japanese_Ln.2 JLPT JLPT_N4,ftU/w6Rm9),Phán quyết
開く,ひらく,to open; to hold (an event),JLPT JLPT_N4,EqW3}ML(%4,mở
逃げる,にげる,"to escape, to run away",JLPT JLPT_N4,olt^H[(k%k,bỏ trốn
だから,だから,so; therefore,Genki Genki_Ln.4 JLPT JLPT_N4,"l,%/>C{Y}S",đó là lý do tại sao
残念,ざんねん,regret; regrettable,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,u8P;}KnN>M,thất vọng
畳,たたみ,tatami mat (Japanese straw mat),JLPT JLPT_N4,K6&+!%&]%g,chiếu tatami
丁寧,ていねい,"polite, courteous, careful",JLPT JLPT_N4,y#[3yo1.4|,lịch sự
地理,ちり,geography,JLPT JLPT_N4,L>P&NZL8Ln,địa lý
