5662	vie	Tôi phải đi ngủ.
5663	vie	Bạn đang làm gì đây?
5664	vie	Cái này là gì?
5665	vie	Hôm nay là ngày 18 tháng sáu, và cũng là ngày sinh nhật của Muiriel!
5666	vie	Chúc mừng sinh nhật, Muiriel!
5667	vie	Bây giờ Muiriel được 20 tuổi.
5668	vie	Mật mã là "Muiriel".
5669	vie	Tôi trở lại mau.
5670	vie	Tôi không biết.
5671	vie	Tôi hết lời để nói.
5672	vie	Cái này xẽ không bao giờ chấm giứt.
5673	vie	Tôi không biết nên nói gì cả...
5674	vie	Đó là một con thỏ hung ác.
5675	vie	Tôi từ trên núi xuống.
5676	vie	Tấm hình này có mới không?
5677	vie	Rốt cuộc, ai cũng phải tự học thôi.
5678	vie	Sẽ không xảy ra đâu.
5679	vie	Tôi sẽ cố không quấy rầy bạn học hành.
5680	vie	Đừng lo.
5681	vie	Toi se goi ho ngay mai.
5682	vie	Bạn nên đi ngủ đi.
5683	vie	Người trước tôi nói ý kiến với tưởng tôi điên.
5684	vie	Nếu thế giới không như bây giờ, thì tôi có thể tin ai cũng được.
5685	vie	Tiếc rằng cái đó là sự thật.
5686	vie	Phần nhiều người ta nghĩ tôi điên.
5687	vie	Ô kìa, con bươm bướm!
5688	vie	Mau lên!
5689	vie	Giá mà tôi cũng như vậy...
5690	vie	Cái đó tùy thuộc vào văn cảnh.
5691	vie	Cái đó la một cái điều tào lao nhất tôi noi từ xưa đến giờ.
5692	vie	Sống ở Mỹ rất thích nếu là ở đây để kiếm tiền.
5693	vie	Tôi mập quá.
5694	vie	Thì sao?
5695	vie	Tao sẽ bắn hạ nó.
5696	vie	Cái đó tại vì bạn là đàn bà.
5697	vie	Tôi không có ý định ích kỷ đâu.
5698	vie	Bạn có bao nhiêu bạn thân?
5699	vie	Từ xưa đến giờ đả luôn luôn như vậy rồi.
5700	vie	Một người luôn luôn có thể kiếm thêm thì giờ.
5701	vie	Phần nhiều người ta viết về chuyện cuộc đời hàng ngày.
5702	vie	Nếu tôi có thể gửi Trang một cục marshmallow thì tôi sẽ gửi.
5703	vie	Tôi là người có nhiều thói xấu nhưng những thói xấu này có thể dễ dàng sửa.
5704	vie	Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.
5705	vie	Có lẽ cũng vậy cho anh ấy luôn.
5706	vie	Cái đó nhìn hấp dẫn.
5707	vie	Thầy vật lý không để ý đến việc lên lớp của tôi.
5708	vie	Tôi ghét những lúc đông người.
5709	vie	Cảnh sát sẽ bắt bạn tìm ra mấy viên đạn.
5710	vie	Cám ơn chỉ dạy.
5711	vie	Tôi không biết ý của bạn là gì.
5712	vie	Bạn muốn nói với tôi về sự tự do hả?
5713	vie	Có nhiều chữ tôi không hiểu.
5714	vie	Tôi cần hỏi một câu hỏi ngớ ngẩn.
5715	vie	Tôi không biết phải trình bày thế nào, bởi vì nó đã quá rõ ràng rồi.
5716	vie	Có thể nói cách khác được không?
5717	vie	Tôi đã tìm ra cách, nhưng mà tìm ra nhanh thế này thì chắc hẳn đó không phải là cách hay rồi.
5718	vie	Cái này rất là hấp dẫn!
5719	vie	Nhưng ở đây, không dễ dàng như vậy đâu.
5720	vie	Không, anh ấy không phải bạn trai mới của tôi.
5721	vie	Bạn không bao giờ có lớp hay sao?
5722	vie	Vấn đề ở đâu?
5723	vie	Tôi chỉ còn chờ đợi được thôi.
5725	vie	Tao không thích mày nữa.
5726	vie	Xin chúc mừng!
5727	vie	Tôi không còn biết phải làm gì nữa.
5728	vie	Tôi cũng không muốn vụ này xảy ra.
5729	vie	Chắc bạn cũng đoán được cái gì xảy ra mà.
5730	vie	Tôi còn có sự chọn lựa nào khác nữa?
5731	vie	Tôi không có gì tốt hơn để làm hết.
5732	vie	Người nào cũng có cái hay và cái dở của họ.
5733	vie	Không biết là tôi còn không nữa.
5734	vie	Bạn nghĩ tôi đang làm gì?
5735	vie	Mẹ của tôi không nói tiếng Anh giỏi lắm.
5736	vie	Làm sao để tìm được thức ăn khi đang ở ngoài không gian?
5737	vie	Mọi người muốn gặp bạn vì bạn nổi tiếng!
5738	vie	Tôi rất ghét phải viết theo khuôn mẫu!
5739	vie	Bạn làm gì mà thức khuya quá vậy?
5740	vie	Bạn không đủ nhanh.
5741	vie	Cuộc sống thì khó khăn đấy, nhưng tôi mạnh mẽ hơn nó nhiều.
5742	vie	Đừng! Mày đang làm cô ấy bực bội đấy.
5743	vie	Chỉ có sự thật là tốt đẹp.
5744	vie	Tôi không biết nói tiếng Nhật.
5745	vie	Không ai hiểu được tôi hết.
5746	vie	Đừng coi tôi như người "bình thường"!
5747	vie	Khong thế nào!
5748	vie	"Trong hang đang xảy ra chuyện gì vậy? Tôi rất là tò mò." "Tôi cũng không biết nữa."
5749	vie	Con thỏ trắng và bé hỏi, "Ước bạn là gì?"
5750	vie	Ờ... cái đó sao rồi?
5751	vie	"Nói thật là tôi rất là sợ độ cao." "Bạn nhát quá!"
5752	vie	"Tin tôi đi," anh ấy nói.
5753	vie	"Đây đúng là thứ mà tôi đang tìm" anh ta kêu lên.
5754	vie	Sẽ có một ngày tôi sẽ chạy nhanh như gió.
5755	vie	Cần gì thì cứ việc nói với tôi.
5756	vie	Nó sẽ không bắt đầu cho tới lúc tám giờ rưỡi.
5757	vie	"Tôi muốn đánh bài." "Tôi cũng vậy."
5758	vie	Cộng sản sẽ chẳng bao giờ tồn tại đến đời của tôi.
5759	vie	Làm ơn để bộ bài trên bàn gỗ sồi.
5760	vie	Sao mình không đi về đi?
5761	vie	Một triệu người đã ngã xuống trong cuộc chiến đó.
5762	vie	Trong tất cả các loại hình chính phủ, dân chủ là tệ nhất, trừ mọi chính phủ mà đã tồn tại từ xưa đến giờ.
5763	vie	Sếp à, không phải tôi đâu!
5764	vie	Kìa mấy cái quần trắng của mình! Vẫn còn mới!
5765	vie	Khi tôi ra khỏi ga xe lửa, tôi gặp một gã đàn ông.
5766	vie	Đêm cũng dài quá ha?
5767	vie	Có nhớ tôi không?
5768	vie	Cám ơn bạn nhiều nghe!
5769	vie	Ý định tốt!
5770	vie	Vé khứ hồi phải không? Một chiều thôi.
5771	vie	Xếp gọn gàng sau khi giặt xong.
5772	vie	Giặt trước khi mặc lần đầu.
5773	vie	Đừng mở trước khi xe lửa ngừng lại.
5774	vie	Ờ, xin lỗi nghe.
5775	vie	Người nghèo không phải là người có quá ít mà là người muốn quá nhiều.
5776	vie	Anh có vẻ không bất ngờ nhỉ, chắc anh đã biết cả rồi.
5777	vie	Mất bao nhiêu thời gian để đi từ đay tới ga?
5778	vie	Cái này sẽ là một kỷ niệm tốt của cuộc du ngoạn xung quanh nước Mỹ.
5780	vie	Rất là khó để nói chuyện với một người luôn luôn trả lời "Có" hay "Không".
5781	vie	"Má, con có thể ăn một miếng bánh quy được không?" "Không. Con không nên ăn giữa bữa ăn."
5782	vie	"Bạn thấy sao?" anh ấy hỏi.
5783	vie	Rất là khó để thành thạo tiếng Pháp trong hai hay ba năm.
5784	vie	Tôi không thế nào giải nghĩa cho bạn được.
5785	vie	Tôi không muốn cả đời hối tiếc vì chuyện này.
5786	vie	Tôi cũng không đoán được.
5787	vie	Sự tưởng tượng ảnh hưởng đến mọi khía cạnh cuộc sống của chúng ta.
5788	vie	Chúng tôi không ngủ được vì ồn quá.
5789	vie	Tốt nhất là hãy làm theo mọi thứ anh ấy nói với bạn.
5790	vie	Tôi tốn hơn hai tiếng để dịch vài trang tiếng Anh.
5791	vie	Đã mười một giờ rồi.
5792	vie	Paris là một thành phố đẹp nhất thế giới.
5793	vie	Tôi có ước mơ.
5794	vie	Đây là bạn tôi tên Rachel, chúng tôi học trường trung học với nhau.
5795	vie	Giá sinh hoạt đã nhất loạt tăng.
5796	vie	Nhưng mà vũ trụ là vô tận.
5797	vie	Nhưng, sự trái ngược cũng luôn luôn có lý.
5798	vie	Có em bên cạnh thì bây giờ mọi thứ đều ổn cả rồi.
5799	vie	Ý cậu là cậu không biết hả?!
5800	vie	Bạn nhìn ngốc quá.
5801	vie	Tôi đi mua sắm một chút. Một tiếng sau trở lại.
5802	vie	Trong tiếng Ý cái đó nói thế nào?
5803	vie	Cám ơn. Thôi nhé.
5804	vie	Không phải lỗi của tôi!
5805	vie	Mở miệng ra!
5806	vie	Có nhiều thứ để làm quá!
5807	vie	Đừng nghĩ là ăn sôcôla của tôi được nghe!
5808	vie	Nhờ ơn của bạn tôi hết còn thèm ăn.
5809	vie	Tôi muốn đấm ai đó cho thỏa thích.
5810	vie	Ai lại không biết về vấn đề này?!
5811	vie	Nóng đến nỗi mà có thể luộc trứng trên nóc xe.
5812	vie	Không ai tới hết.
5813	vie	Làm ơn nhìn mặt tôi khi nói chuyện!
5814	vie	Nếu bạn phát biểu nhưng không ai tới thì sao?
5815	vie	Tôi không hiểu.
5816	vie	Còn chúng tôi làm gì?
5817	vie	Tôi bị nhức đầu.
5818	vie	Tôi phải nhận là tôi có ngáy...
5819	vie	Giày của tôi bé quá, tôi cần đôi mới.
5820	vie	Mau rời khỏi đây. Cảnh sát tới bây giờ.
5821	vie	Chúc mừng giáng sinh!
5822	vie	"Nếu mệt thì ngủ một chút đi?" "Bây giờ mà ngủ thì sẽ dậy sớm lắm."
5823	vie	Nếu muốn chứng minh điều gì thì trước hết phải biết là nó đúng đã.
5824	vie	Cái gì dễ bị hiểu lầm thì sẽ luôn như vậy thôi.
5825	vie	Tôi đói quá rồi!
5826	vie	Tôi còn nhiều việc phải làm quá, chắc phải ở lại thêm một tiếng đồng hồ nữa.
5827	vie	Tôi có chồng và hai đứa con.
5828	vie	Tôi muốn đi du học ở Paris.
5829	vie	Sao không ăn rau vậy?
5830	vie	Cái xe đã đụng vô tường.
5831	vie	Tìm thì sẽ thấy.
5832	vie	"Xong chưa vậy?" "Tôi còn chưa bắt đầu nữa mà."
5833	vie	"Chào buổi sáng" Tom mỉm cười và nói.
5834	vie	Tôi hứa.
5835	vie	Tôi thấy ngoại ngữ rất thú vị.
5836	vie	Đối mặt sự sống với một nụ cười!
5837	vie	Bạn khiến tôi mơ đấy.
5838	vie	Kỳ nghỉ từ đây kết thúc.
5839	vie	Đầm dạ hội luôn được mong chờ.
5840	vie	Lạnh.
5841	vie	Tôi khát nước.
5842	vie	Khi tôi hỏi mọi người điều gì khiến họ cảm thấy tiếc nuối khi còn đi học thì phần đông đều trả lời rằng họ đã lãng phí quá nhiều thời gian.
5843	vie	Bạn cố ý làm phải không!
5844	vie	Bạn không nói với anh ấy cái gì à?
5845	vie	Bạn có thể gọi lại được không?
5846	vie	Tôi đang nói chuyện với ai đây?
