5662	4703
5663	4704
5664	205604
5665	4705
5666	4706
5667	4707
5668	4708
5670	4710
5671	4711
5673	4713
5674	4714
5675	4715
5676	4716
5677	75139
5679	4731
5680	4734
5682	4738
5684	330721
5685	4746
5687	4753
5688	4754
5690	4758
5692	4763
5693	4764
5694	4765
5695	4766
5697	4775
5698	4777
5700	4781
5702	181951
5704	4793
5706	4799
5707	4811
5708	4813
5709	4819
5711	4826
5712	4828
5714	4835
5715	4836
5716	4838
5717	4840
5719	4842
5720	4845
5721	4847
5722	4848
5725	4852
5726	4854
5727	4860
5728	4863
5729	4864
5730	4866
5731	4868
5732	4870
5733	4876
5734	4877
5735	4879
5736	4883
5737	4885
5738	4887
5739	4890
5741	135765
5742	5204
5743	4894
5744	4896
5745	4898
5746	4907
5748	4917
5750	4921
5751	4922
5752	4923
5753	4924
5754	4930
5755	4933
5757	4938
5758	4943
5759	4946
5760	4950
5761	4954
5762	181963
5763	181964
5764	4961
5765	4963
5766	4967
5766	2457224
5767	4969
5768	4971
5770	4975
5771	4977
5772	4978
5773	4979
5774	4983
5775	4987
5776	4988
5777	4989
5778	4990
5779	4992
5780	4993
5781	236432
5782	5001
5783	5002
5784	5003
5785	5004
5786	5006
5787	5007
5788	5018
5789	5021
5790	5023
5791	5024
5792	5032
5793	5035
5794	5036
5795	5037
5796	5040
5797	5042
5798	5046
5799	5047
5800	5048
5801	5051
5802	5054
5803	5057
5804	5063
5805	5067
5806	5077
5808	5082
5809	5083
5810	5091
5811	5090
5812	5093
5813	5100
5814	5102
5815	349070
5816	5113
5817	5114
5818	5116
5819	5123
5820	5124
5821	5125
5822	5127
5823	5140
5824	5146
5825	5152
5826	138775
5827	5155
5828	5158
5829	5160
5830	136182
5831	182300
5832	5170
5833	5171
5834	5176
5837	5180
5838	48301
5840	5183
5841	5184
5842	5185
5843	5189
5844	5190
5845	5193
5846	5194
5849	5211
5851	5213
5852	5214
5853	182285
5854	5215
5855	5216
5856	5219
5857	5222
5859	5224
5862	5229
5864	5230
5866	139008
5870	5234
5879	5243
5882	5246
5883	5248
5884	5250
5885	5253
